Benchmark,Static-AlwaysTaken Correct,Static-AlwaysTaken Incorrect,Static-BTFNT Correct,Static-BTFNT Incorrect,Best-2bit-FSM (ABACBDCD:3) Correct,Best-2bit-FSM (ABACBDCD:3) Incorrect,Pentium-M Correct,Pentium-M Incorrect,LocalHistory-BHT2048-H8 Correct,LocalHistory-BHT2048-H8 Incorrect,LocalHistory-BHT4096-H4 Correct,LocalHistory-BHT4096-H4 Incorrect,LocalHistory-BHT8192-H2 Correct,LocalHistory-BHT8192-H2 Incorrect,GlobalHistory-H4-PHT16384 Correct,GlobalHistory-H4-PHT16384 Incorrect,GlobalHistory-H8-PHT16384 Correct,GlobalHistory-H8-PHT16384 Incorrect,GlobalHistory-H12-PHT16384 Correct,GlobalHistory-H12-PHT16384 Incorrect,Perceptron-M256-H20 Correct,Perceptron-M256-H20 Incorrect,Perceptron-M128-H32 Correct,Perceptron-M128-H32 Incorrect,Perceptron-M64-H60 Correct,Perceptron-M64-H60 Incorrect,Alpha21264 Correct,Alpha21264 Incorrect,Tournament-2bit-vs-Global Correct,Tournament-2bit-vs-Global Incorrect,Tournament-2bit-vs-FSM Correct,Tournament-2bit-vs-FSM Incorrect,Tournament-2bit-vs-Perceptron Correct,Tournament-2bit-vs-Perceptron Incorrect,Tournament-Global-vs-Perceptron Correct,Tournament-Global-vs-Perceptron Incorrect,Total Instructions
403.gcc,12297172279,13571316761,18221571036,7646918004,23550933680,2317555360,20766455430,5102033610,24000310048,1868178992,23572379437,2296109603,23260645814,2607843226,19578185253,6290303787,22200499275,3667989765,23972766219,1895722821,24981530672,886958368,24938315980,930173060,24777674242,1090814798,24821362664,1047126376,24155771103,1712717937,23601832113,2266656927,24916971293,951517747,24670596728,1197892312,1.42162E+11
410.bwaves,88592483120,34014692448,1.00416E+11,22191436351,1.04359E+11,18247830389,1.09219E+11,13388236574,1.18034E+11,4573426803,1.11527E+11,11079690461,1.01873E+11,20733769456,1.03598E+11,19008715386,1.14445E+11,8161838140,1.16601E+11,6006516367,1.17806E+11,4801573387,1.19873E+11,2734009876,1.21367E+11,1239910063,1.19681E+11,2926309855,1.16491E+11,6116597994,1.04371E+11,18236016298,1.20437E+11,2170598730,1.2047E+11,2137554831,2.18103E+12
416.gamess,34756615404,32132850043,45277099253,21612366194,57914839488,8974625959,59756193307,7133272140,64744812666,2144652781,62018281440,4871184007,56601073882,10288391565,52536435942,14353029505,60411616451,6477848996,63856852335,3032613112,65066030505,1823434942,65271676166,1617789281,65338007107,1551458340,65850002547,1039462900,62965384502,3924080945,57843789048,9045676399,65356967246,1532498201,65359204850,1530260597,1.04274E+12
429.mcf,25764447101,39087003840,45101992696,19749458245,58539118730,6312332211,55746538301,9104912640,60336174958,4515275983,60055291575,4796159366,59652348675,5199102266,59080123779,5771327162,60452336651,4399114290,61018223565,3833227376,61366477790,3484973151,61379060952,3472389989,61361390075,3490060866,61318935828,3532515113,60814608428,4036842513,58656883087,6194567854,61251915622,3599535319,61309176300,3542274641,3.04115E+11
433.milc,36675874309,16584639436,37961012322,15299501423,38357258003,14903255742,51816461641,1444052104,53239133176,21380569,53162123878,98389867,49642271057,3618242688,48273392720,4987121025,50481280538,2779233207,52132992490,1127521255,53234140866,26372879,53234669775,25843970,53239886308,20627437,53247524631,12989114,50778256681,2482257064,38357191872,14903321873,53239672344,20841401,53239802537,20711208,1.16907E+12
435.gromacs,26179758240,52980567434,63777266313,15383059361,72899310220,6261015454,73133558298,6026767376,74691787640,4468538034,74007959446,5152366228,71610679568,7549646106,66655377355,12504948319,70049081256,9111244418,75028142271,4132183403,76044593314,3115732360,75987381619,3172944055,75815308021,3345017653,76065522593,3094803081,74679578276,4480747398,72922119684,6238205990,75682168555,3478157119,75637375964,3522949710,2.07099E+12
436.cactusADM,4156984463,165207271,4262055815,60135919,4272655250,49536484,4239609362,82582372,4285036369,37155365,4282802549,39389185,4274118612,48073122,4260512404,61679330,4277821018,44370716,4284206593,37985141,4286091735,36099999,4286568640,35623094,4286711974,35479760,4286092348,36099386,4281886471,40305263,4275504042,46687692,4286618960,35572774,4286549285,35642449,2.78291E+12
450.soplex,31494720701,20449951572,42006277741,9938394532,49436308346,2508363927,48075480796,3869191477,49715415746,2229256527,49485854828,2458817445,49395470695,2549201578,45497473021,6447199252,49380957852,2563714421,49974380214,1970292059,50220993081,1723679192,50312660006,1632012267,50335753354,1608918919,50251831364,1692840909,49762816973,2181855300,49433817596,2510854677,50286585894,1658086379,50302479623,1642192650,3.51767E+11
459.GemsFDTD,33969825001,7764018853,36626087163,5107756691,41281095183,452748671,40842569877,891273977,41345850118,387993736,41269916299,463927555,41227481122,506362732,40039700445,1694143409,41269880749,463963105,41572768003,161075851,41590752125,143091729,41592218267,141625587,41592505560,141338294,41590933822,142910032,41324100741,409743113,41280561518,453282336,41592971345,140872509,41592897123,140946731,1.47507E+12
470.lbm,527480257,11071876780,7860444716,3738912321,11464605445,134751592,11399671824,199685213,11546282538,53074499,11545160619,54196418,11538771815,60585222,11533232376,66124661,11546736909,52620128,11546899193,52457844,11546572040,52784997,11546411548,52945489,11548460518,50896519,11546937292,52419745,11546913813,52443224,11464605566,134751471,11548475512,50881525,11549245962,50111075,1.27386E+12
483.xalancbmk,75392833442,1.6251E+11,2.15322E+11,22580596164,2.30536E+11,7366543924,2.26486E+11,11416930866,2.32164E+11,5738395912,2.30519E+11,7384059452,2.29382E+11,8520932327,2.06453E+11,31450184045,2.24815E+11,13087501856,2.2979E+11,8112887520,2.36254E+11,1648984032,2.36534E+11,1368992692,2.36459E+11,1443463003,2.35432E+11,2470373511,2.32642E+11,5260647658,2.30525E+11,7377524556,2.36538E+11,1365032281,2.36286E+11,1616973732,9.24613E+11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benchmark,Static-AlwaysTaken MPKI,Static-BTFNT MPKI,Best-2bit-FSM (ABACBDCD:3) MPKI,Pentium-M MPKI,LocalHistory-BHT2048-H8 MPKI,LocalHistory-BHT4096-H4 MPKI,LocalHistory-BHT8192-H2 MPKI,GlobalHistory-H4-PHT16384 MPKI,GlobalHistory-H8-PHT16384 MPKI,GlobalHistory-H12-PHT16384 MPKI,Perceptron-M256-H20 MPKI,Perceptron-M128-H32 MPKI,Perceptron-M64-H60 MPKI,Alpha21264 MPKI,Tournament-2bit-vs-Global MPKI,Tournament-2bit-vs-FSM MPKI,Tournament-2bit-vs-Perceptron MPKI,Tournament-Global-vs-Perceptron MPKI,,,,,,,,,,,,,,,,,,,
403.gcc,95.46375143,53.79017323,16.30221538,35.88887334,13.14119905,16.15136101,18.34416674,44.24743801,25.80148038,13.33494865,6.239068372,6.543050416,7.673041206,7.365726836,12.04765037,15.94418414,6.693193835,8.426248972,,,,,,,,,,,,,,,,,,,
410.bwaves,15.5956817,10.17473782,8.366600842,6.138484905,2.096908823,5.080020231,9.5063999,8.715465388,3.742189641,2.75397808,2.201513664,1.253539125,0.568496767,1.341708355,2.804450328,8.3611841,0.995216022,0.980065447,,,,,,,,,,,,,,,,,,,
416.gamess,30.81586534,20.72657002,8.606795372,6.840910576,2.056752862,4.671535522,9.866715483,13.76476173,6.212350355,2.908319591,1.748700335,1.551483188,1.487870862,0.996859871,3.763250064,8.674933766,1.469687816,1.467541921,,,,,,,,,,,,,,,,,,,
429.mcf,128.527081,64.94077236,20.75640375,29.93905209,14.84726852,15.77087785,17.09584701,18.97745441,14.46530209,12.60453544,11.45939525,11.41801892,11.47612483,11.61572419,13.27406896,20.36916739,11.83610208,11.64781577,,,,,,,,,,,,,,,,,,,
433.milc,14.18621081,13.08692621,12.74798457,1.235216939,0.018288565,0.084160973,3.094981578,4.26589619,2.377307527,0.964461982,0.0225589,0.02210648,0.017644349,0.011110661,2.123279323,12.74804114,0.01782737,0.017716005,,,,,,,,,,,,,,,,,,,
435.gromacs,25.58228643,7.427890069,3.023204515,2.910095092,2.157685835,2.487880274,3.645434892,6.038160502,4.399470895,1.995273069,1.504467799,1.532093135,1.615180883,1.494361852,2.163581269,3.012190699,1.679468831,1.701097457,,,,,,,,,,,,,,,,,,,
436.cactusADM,0.059364905,0.021608995,0.017800238,0.029674812,0.013351257,0.014153949,0.017274399,0.022163598,0.015943992,0.013649425,0.012972026,0.012800657,0.012749152,0.012971806,0.014483128,0.016776564,0.012782575,0.012807612,,,,,,,,,,,,,,,,,,,
450.soplex,58.13490327,28.25276152,7.130750103,10.99929609,6.337306576,6.989899894,7.24684294,18.32802897,7.288099894,5.60112516,4.900056743,4.639466991,4.573817469,4.812390003,6.202554875,7.13783078,4.713590197,4.668407675,,,,,,,,,,,,,,,,,,,
459.GemsFDTD,5.263504774,3.462730093,0.306934442,0.604226358,0.263034766,0.314513005,0.343281322,1.148520127,0.314537106,0.109199054,0.097006977,0.096013027,0.095818261,0.096883798,0.277779443,0.307296232,0.095502489,0.095552807,,,,,,,,,,,,,,,,,,,
470.lbm,8.691604246,2.935107286,0.105782202,0.156756156,0.041664349,0.042545074,0.04756039,0.05190894,0.041307661,0.041180265,0.041437085,0.041563074,0.039954599,0.041150357,0.041168788,0.105782107,0.039942829,0.039338013,,,,,,,,,,,,,,,,,,,
483.xalancbmk,175.7598334,24.42166075,7.967160622,12.34778791,6.206264758,7.986104245,9.215669818,34.01441307,14.15456563,8.774355879,1.783430708,1.480610824,1.561152925,2.671790566,5.689564238,7.979036539,1.476327509,1.748810511,,,,,,,,,,,,,,,,,,,
?VERAGE,50.73455338,20.8400853,7.757421094,9.73548857,4.289065942,5.417550184,7.129470406,13.59765554,7.164777743,4.463729691,2.728237079,2.599158712,2.647441028,2.769152572,4.400166435,7.696038496,2.639058323,2.800491108,,,,,,,,,,,,,,,,,,,
